2025-07-02 22:57:40,385 - INFO - server starting up
2025-07-03 23:24:57,279 - app - INFO - server starting up
2025-07-26 23:18:01,371 - app - INFO - [2025-07-26T23:18:01.371920] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:02,612 - app - INFO - [2025-07-26T23:18:02.612964] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:03,824 - app - INFO - [2025-07-26T23:18:03.824013] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:05,057 - app - INFO - [2025-07-26T23:18:05.057388] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:06,157 - app - INFO - [2025-07-26T23:18:06.157805] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:07,414 - app - INFO - [2025-07-26T23:18:07.414632] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:08,673 - app - INFO - [2025-07-26T23:18:08.673227] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:10,068 - app - INFO - [2025-07-26T23:18:10.068028] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:11,370 - app - INFO - [2025-07-26T23:18:11.370327] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:12,850 - app - INFO - [2025-07-26T23:18:12.850276] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:13,901 - app - INFO - [2025-07-26T23:18:13.901081] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:15,389 - app - INFO - [2025-07-26T23:18:15.389464] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:16,730 - app - INFO - [2025-07-26T23:18:16.730230] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:18,061 - app - INFO - [2025-07-26T23:18:18.061277] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:19,190 - app - INFO - [2025-07-26T23:18:19.190072] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:20,662 - app - INFO - [2025-07-26T23:18:20.662511] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:18:22,055 - app - INFO - [2025-07-26T23:18:22.055653] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
